vm_name,platform,datacenter,vcenter,resource_group
test-server-19,vcenter,DatacenterD,vc4.example.com,
test-server-20,vcenter,DatacenterD,vc4.example.com,
az-web-vm-01,azure,eastus,,rg-production-east
az-web-vm-02,azure,eastus,,rg-production-east
az-web-vm-03,azure,eastus,,rg-production-east
az-app-vm-01,azure,eastus,,rg-production-east
az-app-vm-02,azure,eastus,,rg-production-east
az-db-vm-01,azure,eastus,,rg-production-east
az-db-vm-02,azure,eastus,,rg-production-east
az-infra-vm-01,azure,eastus,,rg-production-east
az-web-vm-04,azure,westus,,rg-production-west
az-web-vm-05,azure,westus,,rg-production-west
az-app-vm-03,azure,westus,,rg-production-west
az-app-vm-04,azure,westus,,rg-production-west
az-db-vm-03,azure,westus,,rg-production-west
az-db-vm-04,azure,westus,,rg-production-west
az-infra-vm-02,azure,westus,,rg-production-west
az-infra-vm-03,azure,westus,,rg-production-west
